序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
247,nfra,保监发〔2007〕68号,中国保监会 农业部关于做好生猪保险和防疫工作的通知,保险产品|保险公司|保险机构 ,[body]…（一）要充分发挥保险监管部门的组织协调和市场监管职能。各保监局要做好统一协调和服务工作，要积极协调相关部门和保险公司做好宣传推动工作，使广大农户明确生猪保险是政府支持“三农”的重要举措，明确保险责任和收费标准，赢得养殖户的认可…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
248,nfra,卫医发〔2007〕204号,关于推动医疗责任保险有关问题的通知,保险公司 ,[body]…化医疗责任保险需求。 要指导保险企业推进服务创新， 加强诚信建设， 增强保险为医疗卫生事业服务的意识。 要引导保险公司加强医疗责任保险业务管理和风险管控， 充分利用专业化风险管理手段防范和化解可能出现的风险。  三、 加强沟通合…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
249,nfra,银监办发〔2007〕51号,农村资金互助社示范章程,分支机构 ,[body]…济组织的农民和农村小企业自愿入股组成，为社员提供存款、贷款、结算等业务的社区互助性银行业金融机构） 本社不设立分支机构。 第四条 本社实行社员民主管理，以服务社员为宗旨，谋求社员共同利益。 第五条 本社依据《农村资金互助社管理暂…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
250,nfra,银监发〔2007〕7号,农村资金互助社管理暂行规定,分支机构 ,[body]…理机构颁发金融许可证，并按工商行政管理部门规定办理注册登记，领取营业执照。 第十六条  农村资金互助社不得设立分支机构。 1. 社员和股权管理 第十七条  农村资金互助社社员是指符合本规定要求的入股条件，承认并遵守章程，向农村资…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
251,nfra,,关于开展2006年度电子银行安全评估机构资质认定的公告,分支机构 ,[body]…括：成立历史和经营年限、主要业务领域、员工数量（技术人员数量和学历结构单列）、上级部门（母公司、集团公司等）及分支机构情况、主要安全评估经验、获奖和受罚情况等（均为截至2006年7月31日）； （三）安全评估业务管理框架、管理制…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
252,nfra,保监发〔2006〕69号,关于进一步做好旅游保险工作的意见,保险产品|保险公司|保险理赔|保险销售 ,[body]…现代旅游业发展需要的旅游保险制度，初步形成“政府引导、市场运作”的旅游保险发展机制。到2010年，力争实现旅游保险产品相对完备，旅游保险服务规范到位，“旅保合作”机制相对完善，旅游企业风险管理水平显著增强，游客和旅游经营者投保积…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
253,nfra,保监发〔2006〕13号,关于调整保险业务监管费收费标准和收费办法的通知, 保险兼业代理,[body]…按保险公司年度自留保费收入的2‰收取降为按保险公司年度自留保费收入的1.9‰收取。 2、对保险公司经营的长期人寿险业务，由按保险公司年度自留保费收入的1.2‰收取降为按保险公司年度自留保费收入的1.1‰收取；对保险公司经营的…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；规范保险销售/代理人行为，直接约束人身险公司销售队伍；同时存在排除信号(保险中介机构,保险公估,保险经纪机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
254,nfra,,电子银行安全评估指引,分支机构 ,[body]…施电子银行安全评估的外资金融机构，以及需要按照所在地监管部门的要求在境外实施电子银行安全评估的中资金融机构境外分支机构，电子银行安全评估机构的选择应遵循所在国家或地区的法律要求。    所在国家或地区没有相关法律要求的，金融机构…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
255,nfra,保监发〔2006〕4号,关于做好2005年年度报告编报工作的通知（已失效）,保险公司|保险资产管理 ,[meta]…关于做好2005年年度报告编报工作的通知（已失效） 保监发〔2006〕4号。各保险公司、各保险资产管理公司：。为确保保险公司和保险资产管理公司2005年年度报告编报工作的顺利进行，现将有关要求通知…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
256,nfra,保监发〔2005〕85号,关于印发《全国金融标准化技术委员会保险分技术委员会章程》和《全国金融标准化技术委员会保险分技术委员会费用收缴及管理办法》的通知（已废止）,保险公司 ,[meta]…和《全国金融标准化技术委员会保险分技术委员会费用收缴及管理办法》的通知（已废止） 保监发〔2005〕85号。各保险公司、保险行业协会：。《全国金融标准化技术委员会保险分技术委员会章程》和《全国金融标准化技术委员会保险分技术委员会…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
257,nfra,保监发〔2005〕66号,关于印发《中国保险监督管理委员会新闻宣传管理暂行办法》的通知（已废止）,保险公司|偿付能力 ,[body]…各类会议和重大活动新闻报道 第十三条 保险业突发事件是指与保险业相关的、突然发生的，且严重影响保险业正常运行、保险公司偿付能力和社会安定的自然灾害、意外事故以及其他事件。保险业突发事件需向党中央、国务院领导同志反映的，一般采用内…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
258,nfra,保监发〔2005〕29号,关于修订《中国保监会行政许可事项实施规程》有关内容的通知,保险公司 ,[meta]…关于修订《中国保监会行政许可事项实施规程》有关内容的通知 保监发〔2005〕29号。各保监局，各保险公司，机关各部门：。自2004年7月7日《中国保监会行政许可事项实施规程》（以下简称《规程》）公布施行以来，中国保…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
259,nfra,,保险公司非寿险业务准备金管理办法（试行）, ,[meta]…偿付能力充足，保护被保险人利益，根据《中华人民共和国保险法》，制定本办法。第二条 本办法所称非寿险业务，是指除人寿保险业务以外的保险业务，包括财产损失保险、责任保险、信用保险、短期健康保险和意外伤害保险业务以及上述业务的再保险业…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(再保险公司,财产保险公司)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
260,nfra,,保险公司次级定期债务管理暂行办法（已失效）,保单|保险公司|保险资产管理|偿付能力 ,[title]…保险公司次级定期债务管理暂行办法（已失效） 保监会令（2004）10号 2004年9月29日。第一章总则。第一条 为了…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
261,nfra,保监发〔2004〕151号,关于印发《保险政务信息工作管理办法》的通知,保险公司 ,[meta]…关于印发《保险政务信息工作管理办法》的通知 保监发〔2004〕151号。各保险公司、各保监局、保监会机关各部门、中国保险行业协会、中国保险学会：。为进一步健全保险行业信息网络、拓宽信息覆盖面、…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
262,nfra,保监办函〔2003〕102号,关于统括保单承保问题的复函,保单|保险公司 ,[title]…关于统括保单承保问题的复函 保监办函〔2003〕102号。三井住友海上保险公司上海分公司：。你公司《三井住友海上保险公司上…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
263,nfra,保监办函〔2003〕93号,关于执行第二批取消行政审批项目决定中若干问题的函（已废止）,保险公司|保险公司分支机构|分支机构 ,[meta]…第二批行政审批项目取消有关事项的请示》（保监浙发[2003]第70号）收悉。现就所请示问题答复如下：。一、关于保险公司分支机构变更机构名称。目前我会正在进行《保险公司管理规定》的修改工作，在新的《保险公司管理规定》颁布之前，保险公司分支…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
264,nfra,保监发〔1999〕9号,关于印发《中国保险监督管理委员会对外公告管理暂行办法》的通知（已废止）,保险公司|保险机构|分支机构 ,[meta]…关于印发《中国保险监督管理委员会对外公告管理暂行办法》的通知（已废止） 保监发[1999]9号。各保险公司，机关各部门：。现将《中国保险监督管理委员会对外公告管理暂行办法》印发给你们，请认真遵照执行。特此通知。一九九…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
265,nfra,保监发〔2003〕133号,关于增加认可企业债券信用评级机构的通知（已废止）,保险公司|保险资产管理 ,[meta]…关于增加认可企业债券信用评级机构的通知（已废止） 保监发〔2003〕133号。各保险公司、保险资产管理公司：。根据《保险公司投资企业债券管理暂行办法》（保监发[2003]74号）第二条的有关规定，经…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
266,nfra,保监发〔2003〕92号,关于增加认可企业债券信用评级公司的通知（已废止）,保险公司 ,[meta]…关于增加认可企业债券信用评级公司的通知（已废止） 保监发〔2003〕92号。各保险公司：。根据《保险公司投资企业债券管理暂行办法》（保监发[2003]74号）第二条的有关规定，经研究决定，增加联合…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
267,nfra,保监办发〔2003〕72号,关于调整证券投资基金月报表的通知（已废止）,万能保险|保险公司 ,[meta]…关于调整证券投资基金月报表的通知（已废止） 保监办发〔2003〕72号。各保险公司：。为全面了解你公司投资证券投资基金（以下简称“基金”）的情况，根据《保险公司投资证券投资基金管理暂行办法》（…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
268,nfra,保监函〔2001〕176号,关于界定货物运输险有关问题的复函,保单|保险公司 ,[meta]…办《关于如何界定货物运输保险实行包干赔付有关问题的请示》（保监贵发[2001]85号）收悉。经研究，我会认为，保险公司不论是否出险，均承诺向投保单位支付包干赔款的行为，违反了保险法律、法规的有关规定。     保监函〔2001〕…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
269,nfra,保监发〔2001〕120号,关于财产保险条款费率备案管理的通知（已废止）,保单|保险产品|保险公司|保险条款|分支机构 ,[title]…关于财产保险条款费率备案管理的通知（已废止） 保监发〔2001〕120号。     保监发〔2001〕120号 各保监办，中国…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
270,nfra,保监发〔2001〕16号,关于交通事故强制定损问题的批复,保险公司|保险理赔 ,[meta]…关于交通事故强制定损问题的批复 保监复[2001]88号。成都保监办：。你办《关于保险公司依法不承担价格认证中心对交通事故的定损费用及定损结论不作为保险理赔依据的请示》（成保监发[2001]16号）收…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
271,nfra,保监发〔2001〕60号,关于2001年度智能保险证试点工作有关问题的通知,保险公司 ,[meta]…关于2001年度智能保险证试点工作有关问题的通知 保监发[2001]60号。上海、南京、福州保监办，中国人民保险公司及上海市、江苏省、厦门市分公司，中国太平洋保险公司及上海、南京、厦门分公司，中国平安保险股份有限公司及上海、南…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
272,nfra,保监发〔2001〕8号,关于继续做好深圳市智能保险证试点工作有关问题的通知（已废止）,保险公司 ,[meta]…好深圳市智能保险证试点工作有关问题的通知（已废止） 保监发[2001]8号。华安财产保险股份有限公司，中国人民保险公司深圳市分公司、中国太平洋保险公司深圳分公司、中国平安保险股份有限公司深圳分公司、华泰财产保险股份有限公司深圳分…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
273,nfra,保监复〔2000〕263号,关于《财产保险条款费率管理暂行办法》有关问题的批复,保单|保险公司|保险条款 ,[title]…关于《财产保险条款费率管理暂行办法》有关问题的批复 保监复[2000]263号。东京海上火灾保险公司上海分公司：。你公司《关于“…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
274,nfra,,关于深圳市智能保险证信息统计问题的通知（已废止）,保险公司 ,[meta]…关于深圳市智能保险证信息统计问题的通知（已废止） 中国人民保险公司、中国太平洋保险公司、中国平安保险股份有限公司、华泰财产保险股份有限公司、华安财产保险股份有限公司，中国人民保…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
275,nfra,保监复〔1999〕215号,关于员工抵押贷款的批复,保险公司 ,[meta]…关于员工抵押贷款的批复 保监复[1999]215号。美国友邦保险公司广州分公司、美亚保险公司广州分公司：。你们《关于员工抵押贷款的请示报告》收悉。经研究，批复如下：。《中华人民共…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
276,nfra,保监产〔2000〕45号,关于做好财产保险条款费率管理工作的通知（已废止）,保险公司|保险条款 ,[title]…关于做好财产保险条款费率管理工作的通知（已废止） 保监产[2000]45号。     保监产[2000]45 号 各保监办、 保监…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
277,nfra,保监统信〔2005〕1074号,关于加强年报和年度报统计信息管理的通知（已失效）,保险公司|分支机构 ,[meta]…关于加强年报和年度报统计信息管理的通知（已失效） 保监统信〔2005〕1074号。各保监局、各保险公司：。为全面、真实、准确地反映全年度保险业的发展情况和经营成果，确保年报、年度报数据真实准确，现就年报、年度报统…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
278,nfra,,货币经纪公司试点管理办法实施细则,分支机构 ,[body]…包括出资人名称、注册地址、法定代表人、营业执照复印件、出资人及所在集团的组织结构图、出资人主要股东名册、出资人分支机构与主要关联企业名册、经营情况等事项。 第六条             获得筹建许可的申请人申请延长筹建期限的，…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
279,nfra,保监厅发〔2005〕85号,关于印发机关财务管理有关规定的通知, 保险代理人,[body]…贴、奖金等； （二）社会保险缴费指为职工缴纳的养老、医疗、失业、工伤等保险费； （三）离退休费指未参加职工基本养老保险的离退休人员的费用； （四）医疗费指未参加基本医疗保险的在职职工、离退休人员的医药、治疗、住院等费用，以及参保…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；规范保险销售/代理人行为，直接约束人身险公司销售队伍；同时存在排除信号(保险公估,保险经纪)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
280,nfra,保监发〔2005〕36号,关于成立中国保险监督管理委员会厦门监管局的通知,保险公司 ,[meta]…关于成立中国保险监督管理委员会厦门监管局的通知 保监发〔2005〕36号。各保险公司，各保监局：。根据中央机构编制委员会办公室《关于中国保险监督管理委员会派出机构设置和人员编制的批复》（中央编办…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
281,nfra,保监厅发〔2005〕49号,关于加强外国保险机构驻华代表机构管理问题的通知,保险机构 ,[title]…关于加强外国保险机构驻华代表机构管理问题的通知 保监厅发〔2005〕49号。各保监局：。为维护我国保险市场秩序，促进保险业健康发展…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
282,nfra,保监法规〔2005〕274号,关于在营销服务部基础上设立支公司等分支机构有关问题的批复,保险公司|保险机构|分支机构 ,[title]…关于在营销服务部基础上设立支公司等分支机构有关问题的批复 保监法规〔2005〕274号。新疆保监局：。你公司《关于在营销服务部基础上设立支公司等保险机构…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
283,nfra,保监发〔2005〕30号,关于进一步做好汽车消费贷款保证保险风险防范与化解工作的通知（已废止）,保险公司 ,[meta]…于进一步做好汽车消费贷款保证保险风险防范与化解工作的通知（已废止） 保监发〔2005〕30号。各保监局、各中资保险公司：。汽车消费贷款保证保险业务开办以来，对推动我国汽车消费信贷和汽车消费市场的快速发展发挥了积极的作用，但在经营…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
284,nfra,,中国银行业监督管理委员会关于在华外资银行从事保险公司股票资产托管业务市场准入程序的公告,保险公司 ,[title]…中国银行业监督管理委员会关于在华外资银行从事保险公司股票资产托管业务市场准入程序的公告 摘要     中国银行业监督管理委员会关于在华外资银行从事保险公司 股票资…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
285,nfra,,银行业协会工作指引,分支机构 ,[body]…国银行业协会和各地方银行业协会均是独立社团法人。地方银行业协会可申请加入中国银行业协会，但不是中国银行业协会的分支机构或代表机构。 第八条  中国银行业协会与各地方银行业协会应加强沟通与合作。 中国银行业协会对作为其会员的地方银…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
286,nfra,保监厅函〔2004〕210号,关于对落实北京市道路交通安全实施办法有关问题的复函,保险公司 ,[body]…、 赔偿及基金建立的办法都作了详细规定， 不久即可正式实施。  为支持地方政府的工作， 当前保监局可以积极协调保险公司， 加快保险责任限额内的赔付速度， 配合政府部门落实好道路交通安全实施办法的有关规定。  以上意见， 供参考。…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
287,nfra,保监厅函〔2004〕208号,关于保险公司垫付肇事逃逸车辆对第三者经济损害赔偿责任有关问题的复函,保险公司 ,[title]…关于保险公司垫付肇事逃逸车辆对第三者经济损害赔偿责任有关问题的复函 保监厅函〔2004〕208号。北京保监局：。你局《关于…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
288,nfra,,中国银行业监督管理委员会、中国证券监督管理委员会、中国保险监督管理委员会在金融监管方面分工合作的备忘录, ,[body]…制订保险从业人员的基本资格标准。  （四）审批关系社会公众利益的保险险种、 依法实行强制保险的险种和新开发的人寿保险险种等的保险条款和保险费率， 对其他保险险种的保险条款和保险费率实施备案管理。  （五）依法监管保险公司的偿付…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(保险中介机构,保险公估,保险经纪公司)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
289,nfra,保监厅函〔2004〕75号,关于妥善解决储金业务清退后遗留问题的函,分支机构 ,[body]…护社会稳定。  二、 对系统内储金业务清理后的遗留问题进行彻底清查， 一并加以妥善解决。  三、 进一步加强对分支机构法制观念和风险意识的教育， 不断强化内部管控， 确保分支机构稳定、 健康、 规范发展。  请你公司于 2004…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
290,nfra,,外资银行并表监管管理办法,分支机构 ,[body]…二条  中国银行业监督管理委员会（以下简称银监会）负责指导外资银行并表监管工作。 第三条  银监会对设立营业性分支机构或附属机构的独资、合资银行，以及在华设立两家以上（含两家）营业性分支机构的外国银行实行并表监管。 通过并表方式…,同时存在排除信号(银行业)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
291,nfra,保监发〔2000〕49号,关于重新印发《向保险公司投资入股暂行规定》的通知（已废止）,保险公司 ,[title]…关于重新印发《向保险公司投资入股暂行规定》的通知（已废止） 保监发[2000]49号。各中资保险公司：。中国保险监督管理委员会对原发布…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
292,pbc,中华人民共和国国务院令第631号,征信业管理条例(国务院令 第631号),分支机构 ,"[body]…3年无重大违法违规记录,并取得国务院征信业监督管理部门核准的任职资格。 第九条 经营个人征信业务的征信机构设立分支机构、合并或者分立、变更注册资本、变更出资额占公司资本总额5%以上或者持股占公司股份5%以上的股东的，应当经国务院…",泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
293,pbc,中华人民共和国国务院令第532号,中华人民共和国外汇管理条例,分支机构 ,[body]…第一条 为了加强外汇管理，促进国际收支平衡，促进国民经济健康发展，制定本条例。 第二条 国务院外汇管理部门及其分支机构(以下统称外汇管理机关)依法履行外汇管理职责，负责本条例的实施。 第三条 本条例所称外汇，是指下列以外币表示的…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
294,pbc,中国人民银行令〔2026〕第3号,中国人民银行令〔2026〕第3号（中国人民银行行政复议办法）,分支机构 ,[meta]…行长 潘功胜 2026年1月22日 中国人民银行行政复议办法 第一章 总 则 第一条 为了规范中国人民银行及其分支机构行政复议工作，保护公民、法人和其他组织的合法权益，监督和保障依法行使职权，发挥行政复议化解行政争议的主渠道作用…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
295,pbc,中国人民银行令〔2026〕第2号,中国人民银行令〔2026〕第2号（中国人民银行残缺污损人民币兑换办法）,分支机构 ,[body]…内，办理人民币现金存取业务的银行业金融机构（以下简称金融机构）为公众办理残缺、污损人民币兑换业务，中国人民银行分支机构鉴定残缺、污损人民币兑换结果，适用本办法。 第三条 本办法所称残缺、污损人民币，是指票面撕裂、损缺，或外观、质…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
296,pbc,市场监管总局令〔2026〕第1号,中国人民银行 外交部 公安部 国家安全部 司法部 财政部 住房城乡建设部 市场监管总局令〔2026〕第1号（反洗钱特别预防措施管理办法）,保单|分支机构 ,[body]…后，应当将采取的措施、被限制转移的资金或者资产、客户试图进行的交易等信息按照规定及时书面报告中国人民银行或者其分支机构。 对本办法第二条第一项规定的名单所列对象采取反洗钱特别预防措施的，还应当按照规定及时向国务院公安部门、国家安…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
297,pbc,国发〔2015〕22号,中国人民银行 国家金融监督管理总局令〔2025〕第2号（银行卡清算机构管理办法）,分支机构 ,[body]…采取责令限期改正、停止职权或免除职务等措施，并按规定向中国人民银行报告。 第二十一条 银行卡清算机构在境内设立分支机构，应当符合以下条件： （一）符合银行卡清算机构发展规划; （二）具备持续经营能力; （三）具备良好的公司治理、…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
298,pbc,中国人民银行令〔2024〕第6号,中国人民银行令〔2024〕第6号(中国人民银行行政处罚裁量基准适用规定),分支机构 ,[meta]…2024年11月25日 中国人民银行行政处罚裁量基准适用规定 第一章 总 则 第一条 为规范中国人民银行及其分支机构的行政处罚行为，保护当事人合法权益，根据《中华人民共和国行政处罚法》《中华人民共和国中国人民银行 中国人民银行…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
299,pbc,中国人民银行令〔2024〕第4号,中国人民银行令〔2024〕第4号（非银行支付机构监督管理条例实施细则）,分支机构 ,[body]…资金出资等不正当手段办理行政许可事项，严禁倒卖、出租、出借支付业务许可证。 第三条 《条例》所称中国人民银行的分支机构是指中国人民银行各省、自治区、直辖市以及计划单列市分行。中国人民银行的分支机构根据中国人民银行的授权和分工，依…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
300,pbc,国家市场监督管理总局令〔2024〕第3号,中国人民银行 国家市场监督管理总局令〔2024〕第3号（受益所有人信息管理办法）,分支机构 ,[body]…体）应当根据本办法规定通过相关登记注册系统备案受益所有人信息： （一）公司； （二）合伙企业； （三）外国公司分支机构； （四）中国人民银行、国家市场监督管理总局规定的其他主体。 个体工商户无需备案受益所有人信息。 第三条 注册…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
301,pbc,国发〔2015〕22号,中国人民银行 中国银行业监督管理委员会令〔2016〕第2号（银行卡清算机构管理办法）,分支机构 ,[body]…与终止 第二十五条 银行卡清算机构有下列变更事项之一的，应当按规定向中国人民银行提交变更申请材料： （一）设立分支机构。 （二）分立或者合并。 （三）变更公司名称或者公司章程。 （四）变更注册资本。 （五）变更主要出资人或其他单…,"同时存在排除信号(银行业,银行业金融机构)，已据主体规则判定",低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
302,pbc,中国人民银行令〔2013〕第1号,中国人民银行令〔2013〕第1号（征信机构管理办法）,分支机构 ,[body]…构，是指依法设立、主要经营征信业务的机构。 第三条 中国人民银行依法履行对征信机构的监督管理职责。中国人民银行分支机构在总行的授权范围内，履行对辖区内征信机构的监督管理职责。 第四条 征信机构应当遵守法律、行政法规和中国人民银行…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
303,pbc,中国人民银行令〔2010〕第1号,中国人民银行令〔2010〕第1号（中国人民银行执法检查程序规定）,分支机构 ,[meta]…中国人民银行令〔2010〕第1号（中国人民银行执法检查程序规定） 为促进中国人民银行及其分支机构依法履行职责，规范执法检查行为，保护金融机构以及其他单位和个人的合法权益，根据《中华人民共和国中国人民银行法》…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
304,pbc,,中国人民银行突发事件应急预案管理办法,分支机构 ,[body]…正常工作而针对自然灾害、事故灾难、突发公共卫生事件和突发重大刑事案件、群体性事件而制定的内部规章制度。 （五）分支机构预案，各分支行、企事业单位根据自身应急处置机制建设的需要，制定的与上级单位应急预案相衔接的上级单位预案的分预案…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
305,pbc,中国人民银行令〔2004〕第3号,中国人民银行令〔2004〕第3号（中国人民银行行政许可法实施办法）,分支机构 ,[meta]…：周小川 二○○四年九月十三日 中国人民银行行政许可实施办法 第一章 总 则 第一条 为了规范中国人民银行及其分支机构实施行政许可的行为，保护公民、法人和其他组织的合法权益 中国人民银行    根据《中华人民共和国行政许可法》、…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
